설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
군포1동 행정복지센터,경기도,군포시,경기도 군포시 군포로 531,경기도 군포시 당동 751-15,37.35361204,126.9455589,군포1동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
군포2동 행정복지센터,경기도,군포시,경기도 군포시 고산로 263,경기도 군포시 당동 871-1,37.34634696,126.94308,군포2동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
산본1동 행정복지센터,경기도,군포시,경기도 군포시 고산로724번길 13,경기도 군포시 산본동 73-26,37.37336832,126.9385758,산본1동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
산본2동 행정복지센터,경기도,군포시,경기도 군포시 고산로 663,경기도 군포시 산본2동 1065-1,37.37002007,126.9327115,산본2동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
금정동 행정복지센터,경기도,군포시,경기도 군포시 금산로 35,경기도 군포시 금정동 705-5,37.36540019,126.9392714,금정동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
재궁동 행정복지센터,경기도,군포시,경기도 군포시 번영로550번길 25,경기도 군포시 금정동 850-4,37.35843909,126.9390402,재궁동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
오금동 행정복지센터,경기도,군포시,경기도 군포시 고산로 406,경기도 군포시 금정동 871-13,37.35103214,126.9295372,오금동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
수리동 행정복지센터,경기도,군포시,경기도 군포시 수리산로 38,경기도 군포시 산본동 1151-7,37.35606667,126.9210368,수리동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
궁내동 행정복지센터,경기도,군포시,경기도 군포시 고산로517번길 10,경기도 군포시 산본동 1148-7,37.35965817,126.9218479,궁내동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
광정동 행정복지센터,경기도,군포시,경기도 군포시 광정로 106,경기도 군포시 산본동 1120-2,37.36208607,126.927942,광정동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
대야동 행정복지센터,경기도,군포시,경기도 군포시 대야2로 139,경기도 군포시 대야미동 636-7,37.33028283,126.9153444,대야동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
송부동 행정복지센터,경기도,군포시,경기도 군포시 송부로74번길 3-32,경기도 군포시 도마교동 478-2,37.31622446,126.9238208,송부동 행정복지센터입구,경기도 군포시청,031-390-0251,2024-08-06
