설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
부천시보건소,경기도,부천시,경기도 부천시 원미구 옥산로10번길 16,경기도 부천시 원미구 중동 1119,37.4942085,123.7810171,1층 정문,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
소사보건소,경기도,부천시,경기도 부천시 소사구 경인옛로 73,경기도 부천시 소사구 소사본동 64,37.4802303,126.7999074,2층 입구,소사보건소 의약관리팀,032-625-9813,2024-08-05
오정보건소,경기도,부천시,경기도 부천시 오정구 성오로 172,경기도 부천시 오정구 오정동 129,37.5280532,126.7960424,1층,오정보건소 의약관리팀,032-625-9822,2024-08-05
새현대약국,경기도,부천시,경기도 부천시 원미구 역곡로 8 (역곡동),경기도 부천시 원미구 역곡동 82-10,37.4861119,126.8117531,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
드림약국,경기도,부천시,"경기도 부천시 원미구 길주로 219, 508호 (중동)",경기도 부천시 원미구 중동 1034-4,37.5047759,126.7667977,5층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
사랑약국,경기도,부천시,"경기도 부천시 원미구 중동로 326, 103호 (중동)",경기도 부천시 원미구 중동 1051-1,37.5087717,126.7699472,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
늘픔온누리약국,경기도,부천시,"경기도 부천시 원미구 소향로 51, 101호 (상동)",경기도 부천시 원미구 상동 542-6,37.5034852,126.7534919,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
상동제일약국,경기도,부천시,"경기도 부천시 원미구 조마루로 103, 105호 (상동)",경기도 부천시 원미구 상동 559-4,37.5004391,126.7552332,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
메디팜성모약국,경기도,부천시,경기도 부천시 원미구 부일로571번길 55 (소사동),경기도 부천시 원미구 소사동 5-42,37.486078,126.7916009,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
우리성모약국,경기도,부천시,경기도 부천시 원미구 부일로571번길 54 (소사동),경기도 부천시 원미구 소사동 10-6,37.4860416,126.7919667,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
사랑이꽃피는약국,경기도,부천시,"경기도 부천시 원미구 원미로97번길 32, 106호 (원미동)",경기도 부천시 원미구 원미동 121-7,37.4916706,126.78897,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
원미사랑약국,경기도,부천시,경기도 부천시 원미구 원미로 113 (원미동),경기도 부천시 원미구 원미동 95-6,37.4927997,126.7907019,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
뿌리약국,경기도,부천시,경기도 부천시 원미구 부천로 34 (심곡동),경기도 부천시 원미구 심곡동 164-3,37.4871612,126.7837311,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
원미쎈타약국,경기도,부천시,경기도 부천시 원미구 부천로 107 (심곡동),경기도 부천시 원미구 심곡동 93-13,37.493812,126.7846422,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
정약국,경기도,부천시,"경기도 부천시 원미구 소향로 246, 401호 (중동)",경기도 부천시 원미구 중동 1134,37.5002973,126.7751555,4층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
유원센터약국,경기도,부천시,"경기도 부천시 원미구 조마루로385번길 92, 127호 U1센터 (춘의동)",경기도 부천시 원미구 원미동 39-1,37.5008353,126.7901738,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
약사랑약국,경기도,부천시,"경기도 부천시 원미구 부천로 57-1, 101호(심곡동)",경기도 부천시 원미구 심곡동 355-8,37.4894958,126.7835798,1층,부천시보건소 건강정책과 의약관리팀,032-625-4213,2024-08-05
늘봄약국,경기도,부천시,"경기도 부천시 소사구 옥길로 113, 105호 (옥길동)",경기도 부천시 소사구 옥길동 726-4,37.4673272,126.8220244,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
다사랑온누리약국,경기도,부천시,"경기도 부천시 소사구 범안로 31, 107호 (괴안동)",경기도 부천시 소사구 괴안동 89,37.4789802,126.8072626,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
희망약국,경기도,부천시,경기도 부천시 소사구 소사로 184 (소사본동),경기도 부천시 소사구 소사본동 184-6,37.4746195,126.7957881,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
김약국,경기도,부천시,경기도 부천시 소사구 호현로 444 (소사본동),경기도 부천시 소사구 소사본동 149-34,37.477308,126.7927711,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
지매약국,경기도,부천시,경기도 부천시 소사구 심곡로27번길 50 (심곡본동),경기도 부천시 소사구 심곡본동 655-23,37.4809639,126.7790253,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
성주약국,경기도,부천시,경기도 부천시 소사구 성주로 200 (심곡본동),경기도 부천시 소사구 심곡본동 639-24,37.4782799,126.7784301,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
송내온누리약국,경기도,부천시,경기도 부천시 소사구 경인로 126 (송내동),경기도 부천시 소사구 송내동 381-1,37.4838326,126.7693023,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
큰길세명약국,경기도,부천시,경기도 부천시 소사구 경인로 63 (송내동),경기도 부천시 소사구 송내동 366-6,37.4839526,126.7623653,1층,소사보건소 의약관리팀,032-625-9813,2024-08-05
