설치장소명,위도,경도,약국전화번호,약국소재지(도로명)
비즈타워약국,37.3925455,126.9386936,031-420-2117,"경기도 안양시 만안구 덕천로152번길 25, 안양아이에스BIZ타워센트럴 162호 (안양동)"
365케어약국,37.5866312,126.6968213,031-464-0320,"경기도 안양시 만안구 관악대로 54, 105호 (안양동)"
오케이약국,37.39170634,126.9339251,031-441-1121,"경기도 안양시 만안구 덕천로 117, 삼성프라자 102호 (안양동)"
하이약국,37.40133106,126.9196682,,"경기도 안양시 만안구 안양로 330-1, 1층 (안양동)"
제일온누리약국,37.40691082,126.9142981,070-7633-3870,"경기도 안양시 만안구 안양로 407, 102호 (안양동)"
미담약국,37.5226235,126.8643043,031-468-8697,"경기도 안양시 만안구 태평로52번길 31, 1층 102호 (안양동)"
여기약국,37.4019332,126.905296,031-465-0675,"경기도 안양시 만안구 박달로 476, 대원빌딩 102-1호 (박달동)"
늘편한약국,37.39925841,126.920561,031-466-1237,"경기도 안양시 만안구 안양로 307, 금상타워 103호 (안양동)"
세은약국,37.402387,126.9084254,031-468-8253,"경기도 안양시 만안구 박달로 500, 1층 (박달동)"
다정약국,36.8222827,127.1077321,031-464-7588,"경기도 안양시 만안구 안양로 119, 계양빌딩 1층 (안양동)"
올리브약국,35.9343543,126.9638374,031-443-7569,"경기도 안양시 만안구 안양로 142, 부성빌딩 1층 1호 (안양동)"
참튼튼약국,37.4043396,126.9173179,031-444-4640,"경기도 안양시 만안구 안양로 370, 광순빌딩 2층 (안양동)"
효자당약국,36.6741979,128.4649357,031-447-5956,"경기도 안양시 만안구 장내로 125, 1층 제5호 (안양동)"
석수약국,37.4124969,126.9094528,031-473-0510,"경기도 안양시 만안구 안양로 443, 102호 (석수동)"
부원약국,37.39928106,126.9188896,031-429-1030,"경기도 안양시 만안구 병목안로 14, 우남 리치빌 1층 104호 (안양동)"
삼덕공원약국,37.3989798,126.918422,031-465-3675,"경기도 안양시 만안구 병목안로 20, 스페이스타워 1층 101호 (안양동)"
안양왕약국,37.4033044,126.9606703,031-441-4111,경기도 안양시 만안구 안양로 293 (안양동)
우리네온누리약국,37.3997782,126.9209569,070-4232-7677,"경기도 안양시 만안구 안양로 310, 1층 (안양동)"
안양힘찬약국,37.3980537,126.9223916,031-442-1122,경기도 안양시 만안구 안양로 286 (안양동)
성원약국,37.43374004,126.9038356,070-8833-1704,"경기도 안양시 만안구 경수대로 1426, 2층 (석수동)"
삼세종합약국,37.3989535,126.9208676,031-468-3001,"경기도 안양시 만안구 안양로 303, 안양 메쎄 포스빌 1층 107-1,107-2,108호 (안양동)"
오성약국,37.39607978,126.9143622,031-469-6916,경기도 안양시 만안구 양화로 25 (안양동)
관악약국,37.4830738,126.9537538,031-472-3214,"경기도 안양시 만안구 경수대로 1259, 해동빌딩 1층 103호 (석수동)"
수성약국,37.4030252,126.9039029,031-464-7773,"경기도 안양시 만안구 충훈로 14, 1층 103호 (박달동, 한양수자인에듀파크)"
일번가약국,37.5307638,127.1129852,031-463-5855,"경기도 안양시 만안구 병목안로 2, PROJECT 240 TOWER B동 1층 102호 (안양동)"
이약국,37.4613764,126.7188033,031-441-1511,"경기도 안양시 만안구 안양로292번길 3, 1층 (안양동)"
365올바른약국,37.3956218,126.9305209,031-464-7511,"경기도 안양시 만안구 태평로52번길 21, 103호, 115호 (안양동)"
경희양춘당한약국,37.3943398,126.9161058,031-441-6762,"경기도 안양시 만안구 석천로 172, 성우빌딩 1층 (석수동)"
자연美한약국,35.1788978,128.068976,031-447-1053,"경기도 안양시 만안구 태평로52번길 31, 101호 (안양동)"
새싹약국,37.39607597,126.9311471,070-4144-8768,"경기도 안양시 만안구 태평로52번길 37, 102호 (안양동)"
월드삼층약국,37.4012898,126.9131422,031-466-7629,"경기도 안양시 만안구 안양로329번길 108, 3층 (안양동, 안양월드)"
덕천태평양약국,37.39639212,126.9315828,031-443-7605,"경기도 안양시 만안구 태평로52번길 47, 103호 (안양동, 덕천디스퀘어)"
광성약국,37.40666184,126.9138856,031-445-2881,"경기도 안양시 만안구 안양로405번길 14, 1층 (안양동)"
가까운약국,37.39325862,126.9254443,031-468-5566,"경기도 안양시 만안구 안양로 225, 지하1층 (안양동, KT서안양지점)"
365박달온누리약국,37.402709,126.9106405,031-465-3512,"경기도 안양시 만안구 양화로 112, 101호 (박달동)"
100세건강약국,37.4071817,126.9148417,031-465-1320,"경기도 안양시 만안구 안양로 408, 1층 (안양동)"
독일약국,37.3978194,10.451526,031-447-0001,"경기도 안양시 만안구 안양로 282, 1층 (안양동)"
설약국,37.40248147,126.9222153,031-443-0901,"경기도 안양시 만안구 만안로 244, 2층 1호 (안양동, 안양민자역사)"
효자원한약국,37.3927957,126.909867,031-444-1075,"경기도 안양시 만안구 병목안로 121, 1층 (안양동)"
비타민약국,34.8109964,126.4264555,031-349-6676,"경기도 안양시 만안구 안양로 494-1, 1층 (석수동)"
새안양보룡약국,37.3957214,126.923563,031-465-0140,"경기도 안양시 만안구 안양로 259, 1층 (안양동)"
조은약국,37.393314,126.9239813,031-466-0320,"경기도 안양시 만안구 현충로48번길 63, 가동 1층 1호 (안양동)"
희망약국,37.39756778,126.9219817,031-468-7969,"경기도 안양시 만안구 안양로 283, 1층 (안양동)"
나은온누리약국,37.39291522,126.9257015,031-443-5111,경기도 안양시 만안구 안양로223번길 5 (안양동)
주사랑약국,37.4046155,126.916204,070-8849-7007,경기도 안양시 만안구 안양로 377 (안양동)
상록수 약국,37.39365681,126.924066,031-449-4959,경기도 안양시 만안구 삼덕로 12 (안양동)
경희 다미원 한약국,37.38421919,126.9027363,031-444-7582,"경기도 안양시 만안구 창박로 41, 포거스라인프라자 303호 (안양동)"
1번약국,37.39304386,126.9242388,031-466-0521,경기도 안양시 만안구 현충로48번길 57 (안양동)
중앙약국,37.37967523,126.936704,031-464-4233,"경기도 안양시 만안구 명학로 34, 1층 (안양동)"
중앙시장약국,37.3991378,126.9207204,031-465-3317,"경기도 안양시 만안구 안양로 305, 1층 (안양동)"
신우리 약국,37.40053149,126.9206024,031-464-6466,"경기도 안양시 만안구 안양로 316, 305호 (안양동,본프라자)"
리본약국,37.517458,127.024411,031-441-7162,"경기도 안양시 만안구 안양로 316, 117호 (안양동,본프라자)"
큰사랑약국,36.6100315,127.5044732,031-473-6354,"경기도 안양시 만안구 안양로 461-1, 1층 (석수동)"
제일약국,34.0524612,-118.3048169,031-441-3215,경기도 안양시 만안구 양화로 136 (박달동)
장안사약국,37.39581726,126.9243152,031-449-4626,"경기도 안양시 만안구 안양로 258, 1층 (안양동)"
참사랑한약국,37.4045165,126.9083958,031-447-7119,"경기도 안양시 만안구 양화로135번길 14, 1층 (박달동)"
청수약국,37.3951457,126.9178029,031-449-7725,"경기도 안양시 만안구 장내로 83, 1층 (안양동)"
세종우리약국,37.4074335,126.8989466,031-471-8241,"경기도 안양시 만안구 충훈로 83, 1층 (석수동)"
영진약국,37.38602235,126.9331642,031-442-6712,"경기도 안양시 만안구 문예로 50, 104호 (안양동, 한림시티빌아파트)"
사랑약국,37.4761015,126.9803607,031-468-8900,"경기도 안양시 만안구 전파로 19, 1층 (안양동, CJ빌딩)"
청솔약국,35.1807672,128.5597731,031-473-8275,"경기도 안양시 만안구 안양로 472, 1층 (석수동)"
우리한약국,37.39642498,126.9181998,031-465-7579,경기도 안양시 만안구 냉천로193번길 27 (안양동)
미래약국,37.4008952,126.9193567,031-464-9842,경기도 안양시 만안구 안양로 327 (안양동)
충훈당약국,37.4073523,126.8977247,031-471-2829,"경기도 안양시 만안구 와룡로 34, 1층 (석수동)"
오렌지약국,37.3387948,127.1092475,031-447-0134,경기도 안양시 만안구 안양로 339 (안양동)
다보온누리약국,37.3972213,126.9305067,031-446-3936,"경기도 안양시 만안구 안양천서로 177, 지하1층 (안양동, 래미안안양메가트리아)"
참사랑약국,36.3723526,127.3201083,031-468-3337,"경기도 안양시 만안구 창박로 38, 103호 (안양동, 수리산현대홈타운상가)"
한림 생 약국,37.4051297,126.9193137,031-447-5188,경기도 안양시 만안구 만안로 284 (안양동)
1(일)약국,37.40243801,126.9102135,031-468-3354,경기도 안양시 만안구 박달로 518 (박달동)
정성약국,37.39405362,126.9163276,031-442-9722,경기도 안양시 만안구 장내로 68 (안양동)
중앙당약국,37.39787297,126.921875,031-449-5321,경기도 안양시 만안구 안양로 285 (안양동)
독도는우리땅 약국,37.4098308,126.9118717,031-474-1221,경기도 안양시 만안구 안양로 445 (석수동)
온누리산소약국,37.402066,126.9004699,031-468-0825,"경기도 안양시 만안구 박달로 431, 105호 (박달동)"
금강약국,37.40186126,126.9193296,031-464-0048,"경기도 안양시 만안구 안양로 336, 108호 (안양동, 금강빌딩)"
하나약국,38.8575335,-77.3320509,031-441-8466,경기도 안양시 만안구 삼덕로 6 (안양동)
늘봄약국,37.40276259,126.9118229,031-465-0111,경기도 안양시 만안구 박달로 531 (박달동)
안양새천년약국,37.4151736,126.9174189,031-473-3258,"경기도 안양시 만안구 경수대로 1173, 1층 (안양동)"
세화약국,37.41052681,126.9111456,031-471-4122,경기도 안양시 만안구 안양로 455-1 (석수동)
세종온누리약국,37.38769645,126.9311284,031-449-6679,경기도 안양시 만안구 안양로 148 (안양동)
명약국,37.39896676,126.921654,031-441-5799,"경기도 안양시 만안구 안양로 298, 지층 (안양동)"
삼아약국,37.4148532,126.9140434,031-474-1077,"경기도 안양시 만안구 경수대로 1201, 107호 (석수동, 석수대림아파트상가)"
e편한약국,37.41600761,126.9141797,031-471-2830,"경기도 안양시 만안구 경수대로 1201, 211호 (석수동, 석수대림아파트상가)"
은행애약국,37.3983044,126.9221741,031-466-2904,"경기도 안양시 만안구 안양로 290, 3층 (안양동, 조흥은행)"
삼성프라자약국,37.40100339,126.9240851,031-464-5707,"경기도 안양시 만안구 태평로 140, 107호 (안양동, 삼성아파트상가)"
안양성모약국,37.3962727,126.9200579,031-446-3719,경기도 안양시 만안구 장내로 107 (안양동)
호수약국,37.39543129,126.9148277,031-469-2029,"경기도 안양시 만안구 병목안로 69, 성원아파트 상가동 104호 (안양동)"
수약국,37.39626172,126.923875,031-468-3350,경기도 안양시 만안구 안양로 262 (안양동)
수정약국,37.40400423,126.9174785,031-445-2373,경기도 안양시 만안구 안양로 366 (안양동)
종로약국,37.5949159,126.977339,031-468-8180,경기도 안양시 만안구 장내로119번길 16 (안양동)
생명약국,37.41652403,126.9137475,031-473-2155,"경기도 안양시 만안구 경수대로 1207, 1층 (석수동)"
삼원약국,37.40478339,126.9132713,031-443-1053,경기도 안양시 만안구 박달로545번길 46 (안양동)
다나약국,37.41498954,126.9084152,031-471-1599,경기도 안양시 만안구 안양로 512 (석수동)
명진약국,37.38740968,126.930559,031-441-4656,경기도 안양시 만안구 안양로 147 (안양동)
삼영약국,37.39599671,126.9241228,031-466-1653,경기도 안양시 만안구 안양로 260 (안양동)
LG청룡약국,37.4295302,126.9021504,031-472-4487,"경기도 안양시 만안구 연현로79번길 41, 석수 엘지 빌리지 상가동 534동 101,102호 (석수동)"
동아당약국,37.41274464,126.9088655,031-472-0329,경기도 안양시 만안구 석천로 181 (석수동)
안양솔약국,37.3905278,126.9353953,031-445-2214,"경기도 안양시 만안구 안양로 276, 1층 (안양동)"
새진아약국,37.3859946,126.9317902,031-449-2966,경기도 안양시 만안구 안양로 129 (안양동)
한일약국,37.40752212,126.8987509,031-471-3892,경기도 안양시 만안구 충훈로 87 (석수동)
대림약국,37.3836634,126.9336795,031-449-8005,경기도 안양시 만안구 안양로 97 (안양동)
명인당약국,37.40615839,126.9090141,031-443-4500,경기도 안양시 만안구 양화로 152-10 (박달동)
인화약국,37.39504893,126.9183223,031-449-3779,"경기도 안양시 만안구 장내로 86, 2층 (안양동)"
청원약국,37.40205939,126.9190585,031-466-2440,"경기도 안양시 만안구 안양로 340, 1층 (안양동)"
서약국,37.39691385,126.9141017,031-443-4273,경기도 안양시 만안구 양화로 36 (안양동)
새동산약국,37.39240931,126.909666,031-449-6053,경기도 안양시 만안구 병목안로 127 (안양동)
메디팜안심약국,37.3943049,126.9261739,031-466-4322,"경기도 안양시 만안구 관악대로 14, 1층 (안양동)"
수암약국,37.3992988,126.9233242,031-466-6258,경기도 안양시 만안구 안양로292번길 31 (안양동)
안양제일약국,37.4046645,126.9093974,031-444-4477,경기도 안양시 만안구 삼덕로 10 (안양동)
새한약국,37.39927147,126.9213629,031-449-2686,경기도 안양시 만안구 안양로 304 (안양동)
곰약국,37.41515862,126.9091788,031-472-0606,경기도 안양시 만안구 안양로510번길 18 (석수동)
보건약국,37.2761265,127.0169183,031-449-9793,경기도 안양시 만안구 안양로314번길 26 (안양동)
초원약국,37.4004985,126.9196188,031-449-5601,경기도 안양시 만안구 안양로 323 (안양동)
햇살약국,36.0889945,128.3549946,070-4001-1383,"경기도 안양시 동안구 경수대로 544, 1층 2호 (호계동)"
지한약국,37.3728339,126.9488531,070-8777-7109,"경기도 안양시 동안구 엘에스로 122, 호계 데시앙플렉스 1층 111호 (호계동)"
라라약국,36.3620087,127.3772877,,"경기도 안양시 동안구 동안로 120, 평촌스포츠센타 1층 101호 (호계동)"
나무약국,37.6432397,126.6702043,,"경기도 안양시 동안구 경수대로570번길 10, 씨에스타워 1층 103호 (호계동)"
백화점약국,37.5707292,127.0037169,031-465-9566,"경기도 안양시 동안구 관악대로 91, 대림타워 102호 (비산동)"
봄봄약국,37.39417497,126.9770401,031-346-5302,"경기도 안양시 동안구 흥안대로456번길 24, 106호 (평촌동)"
한양약국,37.40199378,126.9757435,031-426-8304,"경기도 안양시 동안구 관악대로 488, 인덕원 메트로빌 308호 (관양동)"
바른약국,37.40247602,126.9753943,031-424-8802,"경기도 안양시 동안구 관악대로 480, 우정타운 1층 105호 (관양동)"
플러스약국,40.7593698,-73.7736211,031-425-4215,"경기도 안양시 동안구 흥안대로 524, 삼우프라자 1층 101호 (관양동)"
7층은약국,37.39135166,126.950431,031-383-2461,"경기도 안양시 동안구 시민대로 175, 동안프라자빌딩 704-1호 (비산동)"
해온약국,37.3671978,126.9551545,031-429-0102,"경기도 안양시 동안구 엘에스로 37, 1층 102호 (호계동)"
힐링약국,37.39841825,126.9389839,031-387-9111,"경기도 안양시 동안구 관악대로106번길 77, 비산롯데캐슬 상가동 1층 107호 (비산동)"
365스마일약국,36.2966363,127.3261583,031-381-8864,"경기도 안양시 동안구 평촌대로217번길 27, 백두프라자 1층 108호 (호계동)"
어바인4층약국,33.6845673,-117.8265049,031-427-0735,"경기도 안양시 동안구 경수대로 563, 현대제우스타워 4층 402호 (호계동)"
길약국,37.4000315,126.9326311,031-443-4874,"경기도 안양시 동안구 비산로 21, 자이파크몰 1층 102호 (비산동)"
평촌센텀약국,37.37162801,126.958254,031-429-1791,"경기도 안양시 동안구 경수대로 548, 4층 일부호 (호계동)"
레몬약국,35.1477923,126.8476809,031-466-1903,"경기도 안양시 동안구 비산로 18, 1층 106호 (비산동)"
타워약국,37.5193454,126.9385858,031-385-2158,"경기도 안양시 동안구 시민대로 175, 동안프라자빌딩 113호 (비산동)"
평촌하늘약국,37.3938228,126.9632577,031-385-1649,"경기도 안양시 동안구 관평로182번길 54, 평촌벌말프라자 1층 103호 (관양동)"
으뜸약국,33.4834954,126.4759039,070-7723-4155,"경기도 안양시 동안구 흥안대로 415, 두산벤처다임 2층 252호 (평촌동)"
로즈마리한약국,37.3983168,126.9624786,031-425-5802,"경기도 안양시 동안구 부림로 174, 1층 (관양동)"
범계세명약국,37.3895159,126.9522365,031-381-6092,"경기도 안양시 동안구 동안로 120, 평촌스포츠센타 7층 710호 일부호 (호계동)"
평촌시민약국,37.391758,126.9517626,031-381-1312,"경기도 안양시 동안구 시민대로 187, 안양건설타워 106호 (비산동)"
모비우스햇살약국,37.3908351,126.9517348,031-360-3302,"경기도 안양시 동안구 시민대로 190, 힐스테이트 범계역 모비우스 134호 (호계동)"
브이원 약국,37.37355201,126.9476896,031-342-4372,"경기도 안양시 동안구 엘에스로 136, 금정역2차 SK V1 tower 1층 110호 (호계동)"
고운 온누리 약국,47.3156695,-122.3199778,031-422-3153,"경기도 안양시 동안구 시민대로 317, 대한스마트타워 110호 (관양동)"
4층가까운약국,37.3914442,126.9534643,031-382-8248,"경기도 안양시 동안구 시민대로 202, 에메랄드빌딩 4층 402호 (호계동)"
주민약국,37.4038413,126.9731503,031-422-8272,"경기도 안양시 동안구 관악대로 456, 1층 (관양동)"
새그린약국,37.37244809,126.9573765,031-452-4350,"경기도 안양시 동안구 경수대로 557, 1층 104호 (호계동)"
솜사탕약국,37.393552,126.9595501,031-5177-1890,"경기도 안양시 동안구 시민대로 260, 안양금융센터 A.F.C 1층 107, 108호 (관양동)"
정성가득약국,37.3885147,126.9500913,0507-1345-0561,"경기도 안양시 동안구 시민대로160번길 20, 평촌롯데식품관 1층 (호계동)"
미소약국,37.40331137,126.9604897,031-347-1136,"경기도 안양시 동안구 관악대로 340, 1층 (관양동)"
2층 리본약국,37.3899382,126.9535214,031-381-6366,"경기도 안양시 동안구 평촌대로217번길 45, 평촌코아주차빌딩 211호 (호계동)"
범계역홈약국,37.538563,127.2125726,031-388-1823,"경기도 안양시 동안구 동안로 120, 평촌스포츠센타 104호 (호계동)"
퍼스트약국,37.4937674,127.0629078,031-429-0525,"경기도 안양시 동안구 경수대로 607, 1층 (호계동)"
휴베이스 봄약국,37.3622194,126.9624847,031-429-5949,"경기도 안양시 동안구 경수대로 428, 덕유파크 111호 (호계동)"
메디컬건강약국,37.3710995,126.9509572,031-479-4534,"경기도 안양시 동안구 엘에스로 92, 국제유통단지 B1층 (호계동)"
평촌대학약국,37.3927632,126.9619205,031-476-8838,"경기도 안양시 동안구 관평로170번길 33, 105호 (관양동)"
아크로약국,37.39231337,126.9565162,031-388-0332,"경기도 안양시 동안구 시민대로 230, 평촌아크로타워 A310-1호 (관양동)"
안양자매약국,37.3765624,126.9580689,031-429-3361,"경기도 안양시 동안구 흥안대로145번길 145, 평촌더샵아이파크 상가동 101호 (호계동)"
관양우리약국,37.4041376,126.957115,031-381-2221,"경기도 안양시 동안구 관평로 313, 1층 (관양동)"
지성약국,37.37557264,126.9591057,031-452-3527,"경기도 안양시 동안구 경수대로584번길 37, 1동 104호 (호계동)"
신라약국,37.3967539,126.9578362,031-381-1563,"경기도 안양시 동안구 관평로 227, 한가람아파트 상가동 108호 (관양동)"
호계약국,37.36982823,126.9575248,031-456-0200,경기도 안양시 동안구 경수대로 527 (호계동)
새누리약국,37.5327591,126.8641483,031-382-1748,"경기도 안양시 동안구 동안로 120, 평촌스포츠센타 301호 (호계동)"
백약국,37.39135166,126.950431,031-388-1902,"경기도 안양시 동안구 시민대로 175, 동안프라자빌딩 116호 (비산동)"
수약국,37.36226346,126.9625268,031-457-2220,"경기도 안양시 동안구 경수대로 428, 덕유파크 3층 314호 (호계동)"
범계약국,37.3908001,126.949619,031-388-5575,"경기도 안양시 동안구 시민대로 167, 안양벤처텔 108호 일부호 (비산동)"
평촌제일약국,37.3904448,126.9520603,031-385-8856,"경기도 안양시 동안구 평촌대로223번길 64, 제일빌딩 307-1호 (호계동)"
평촌마트약국,37.394933,126.9635143,031-381-7218,"경기도 안양시 동안구 동안로 162, 지하 1층 (비산동)"
미소지은온누리약국,47.3156695,-122.3199778,031-466-5669,"경기도 안양시 동안구 관악대로 103, 103에비뉴 6층 610, 611호 (비산동)"
The나은약국,37.3997188,126.9616506,031-421-4613,"경기도 안양시 동안구 부림로 188, 1층 104호 (관양동, 청용빌딩)"
청미래약국,37.3895159,126.9522365,070-8826-3379,"경기도 안양시 동안구 동안로 120, 410호 (호계동, 평촌스포츠센타)"
6층성모약국,37.3895159,126.9522365,031-476-8221,"경기도 안양시 동안구 동안로 120, 610호 (호계동, 평촌스포츠센타)"
바로약국,37.39590715,126.9714931,031-423-3690,"경기도 안양시 동안구 시민대로 372, 112호 (관양동)"
스마트약국,37.39607857,126.9646627,031-422-1138,"경기도 안양시 동안구 시민대로 311, 금강스마트빌딩 136호 (관양동)"
이레약국,37.4526828,126.7084713,031-381-7379,"경기도 안양시 동안구 관평로170번길 33, 109호 (관양동, 평촌주공공이)"
샤론약국,37.263795,127.0333338,031-425-2092,"경기도 안양시 동안구 동편로 16, 104호 (관양동, 동편프라자)"
다정약국,36.8222827,127.1077321,031-388-5557,"경기도 안양시 동안구 관평로 305, 102호 (관양동)"
튼튼약국,35.4142818,129.1700432,031-386-1256,"경기도 안양시 동안구 관평로 314, 1층 (관양동)"
뜰약국,37.39837532,126.9353455,070-8886-2587,"경기도 안양시 동안구 관악대로 104, 2층 (비산동, 리홈안양이마트)"
관양온누리약국,37.4049014,126.9658419,031-421-1320,"경기도 안양시 동안구 관악대로 387, 1층 101, 102호 (관양동)"
바른 한약국,37.40421946,126.9614296,,"경기도 안양시 동안구 관악대로 347, 지하1층 (관양동)"
동양비타민약국,37.3999996,126.9773909,031-422-0567,"경기도 안양시 동안구 흥안대로 516, 멤피스타워 102호 (관양동)"
관악정성약국,37.4808449,126.9822308,031-383-1862,"경기도 안양시 동안구 학의로 24, 종합상가1동 1층 119호 (비산동, 관악아파트 상가동)"
동편약국,37.4101394,126.96703,031-426-1119,"경기도 안양시 동안구 동편로 136, 106호 (관양동, 경진빌딩)"
대명약국,37.3904448,126.9520603,031-385-8596,"경기도 안양시 동안구 평촌대로223번길 64, 1층 (호계동, 제일빌딩)"
평촌라임약국,37.5020776,127.0113549,031-426-7001,"경기도 안양시 동안구 시민대로 311, 314호 (관양동, 금강스마트빌딩)"
뉴키즈맘약국,37.36226346,126.9625268,031-383-9961,"경기도 안양시 동안구 관악대로 272, A-117호 (비산동, 키즈맘센터)"
2층약국,37.36226346,126.9625268,031-427-1350,"경기도 안양시 동안구 경수대로 428, 214호 (호계동, 덕유파크)"
오얏봉약국,37.3929446,126.9622259,031-388-3212,"경기도 안양시 동안구 관평로170번길 33, 107호 (관양동, 평촌주공공이)"
평촌온누리약국,37.3935004,126.9763079,031-421-5918,"경기도 안양시 동안구 흥안대로434번길 19-21, 1층 (평촌동)"
한소망약국,37.38814906,126.9733729,031-421-8777,"경기도 안양시 동안구 흥안대로 378, 101호 (평촌동, 서울안과빌딩)"
그린프라자약국,37.3286496,127.1141852,031-455-7900,"경기도 안양시 동안구 경수대로 558, 1층 (호계동)"
코끼리약국,36.3747967,127.318414,031-423-1236,"경기도 안양시 동안구 흥안대로456번길 82, 107,108호 (평촌동, 밀레니엄프라자)"
건강약국,37.5600355,126.9033081,031-421-3707,"경기도 안양시 동안구 동편로 6, 110호 (관양동, 스마트프라자)"
신세계온누리약국,33.2489574,126.5073438,031-464-0369,"경기도 안양시 동안구 임곡로 62, 116호 (비산동, 임곡프라자)"
정다운5층약국,37.3990384,126.9352044,031-443-5556,"경기도 안양시 동안구 관악대로 103, 5층 505호 (비산동, 103에비뉴)"
샘모루약국,37.3989612,126.9341308,031-442-9905,"경기도 안양시 동안구 관악대로 93, 103호 (비산동, 샘모루빌딩)"
일등약국,36.4742177,127.1413596,031-381-7786,"경기도 안양시 동안구 관악대로 221, 1층 (비산동)"
평촌열린약국,37.3929446,126.9622259,031-387-5335,"경기도 안양시 동안구 관평로170번길 33, 108호 (관양동, 주공공이빌딩)"
도움온누리약국,35.1519356,126.8783766,031-388-5750,"경기도 안양시 동안구 동안로 194, 한양스포츠센타 2층 209호 (비산동)"
나라온누리약국,37.3928184,126.9525962,031-476-0224,"경기도 안양시 동안구 평촌대로243번길 30, 1층 A138호 (비산동, 샤크존빌딩)"
새봄온누리약국,37.3903337,126.9550045,031-381-8278,"경기도 안양시 동안구 평촌대로211번길 16, 108호 (호계동,동아월드프라자)"
혜전약국,37.5331846,126.9753298,031-423-7963,"경기도 안양시 동안구 흥안대로 519, 304호 (관양동,아이퍼스트타워)"
아민약국,37.3947222,126.9640868,031-388-5535,경기도 안양시 동안구 시민대로 300 (관양동)
비채원한약국,37.4038445,126.9519252,031-386-7977,"경기도 안양시 동안구 관악대로263번길 34, 302호 (비산동)"
엘약국,37.3228462,127.0767759,031-427-4029,"경기도 안양시 동안구 경수대로 560, 지하1층 (호계동, 새마을금고)"
범계 수 한약국,37.39112807,126.9552969,0507-1492-4001,"경기도 안양시 동안구 평촌대로 221, 센터프라자 604호 (호계동)"
평촌수약국,37.3917353,126.9547895,031-387-3375,"경기도 안양시 동안구 시민대로 214, 다운타운빌딩 1층 106, 107호 (호계동)"
