설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
양주시보건소,경기도,양주시,경기도 양주시 부흥로 1533,,37.7853533,127.0449130,보건소내1층,경기도 양주시청,,2024-07-30
은남통합보건지소,경기도,양주시,경기도 양주시 남면 화합로610번길 161-13,,37.8700354,127.0063940,보건지소내,경기도 양주시청,,2024-07-30
장흥보건지소,경기도,양주시,경기도 양주시 장흥면 권율로 7,,37.7178852,126.9408836,보건지소내,경기도 양주시청,,2024-07-30
연곡보건진료소,경기도,양주시,경기도 양주시 백석읍 부흥로419번길 26,,37.8185357,126.9505062,보건진료소내,경기도 양주시청,,2024-07-30
봉암보건진료소,경기도,양주시,경기도 양주시 은현면 봉암14길 6 봉암보건진료소,,37.9077876,127.0075420,보건진료소내,경기도 양주시청,,2024-07-30
매곡보건진료소,경기도,양주시,경기도 양주시 남면 휴암로443번길 29-4 매곡보건진료소,,37.8934682,126.9583418,보건진료소내,경기도 양주시청,,2024-07-30
동부건강생활지원센터,경기도,양주시,경기도 양주시 화합로 1426번길 90 양주체육복지센터 5층,,37.8381418,127.0680360,센터내 5층,경기도 양주시청,,2024-07-30
서부치매안심센터,경기도,양주시,경기도 양주시 광적면 부흥로618번길 303 양주문화예술회관 1층,,37.8124953,126.9722989,센터내 1층,경기도 양주시청,,2024-07-30
참약사양주큰사랑약국,경기도,양주시,"경기도 양주시 화합로 1481, 1층 일부 (고암동)",,37.8382247,127.0717600,약국내,경기도 양주시청,,2024-07-30
예사랑약국,경기도,양주시,"경기도 양주시 평화로 1440, 1층 105호 (덕계동)",,37.8191132,127.0470700,약국내,경기도 양주시청,,2024-07-30
큰종로온누리약국,경기도,양주시,경기도 양주시 백석읍 양주산성로 540,,37.7868771,126.9941691,약국내,경기도 양주시청,,2024-07-30
초록약국,경기도,양주시,"경기도 양주시 고삼로 11, 1층 (만송동)",,37.8000169,127.0856051,약국내,경기도 양주시청,,2024-07-30
태평양약국,경기도,양주시,"경기도 양주시 은현면 은현로 515, 15,16호",,37.9073478,127.0052443,약국내,경기도 양주시청,,2024-07-30
행복한약국,경기도,양주시,"경기도 양주시 회정로 134, 두리테크 덕정타운 111호 (덕정동)",,37.8371682,127.0683363,약국내,경기도 양주시청,,2024-07-30
옥정제일약국,경기도,양주시,"경기도 양주시 회천남로 92, 1층 106,107호 (옥정동)",,37.8185800,127.0922087,약국내,경기도 양주시청,,2024-07-30
옥정온누리약국,경기도,양주시,"경기도 양주시 옥정로 222, 옥정스카이 1층 108호 (옥정동)",,37.8214014,127.0921542,약국내,경기도 양주시청,,2024-07-30
모범약국,경기도,양주시,경기도 양주시 평화로 1420 (덕계동),,37.8176936,127.0462593,약국내,경기도 양주시청,,2024-07-30
우리약국,경기도,양주시,"경기도 양주시 회정로 114, 금강프라자 112호 (덕정동)",,37.8372660,127.0659336,약국내,경기도 양주시청,,2024-07-30
다모아약국,경기도,양주시,"경기도 양주시 옥정로 196, 111호 (옥정동)",,37.8189407,127.0921494,약국내,경기도 양주시청,,2024-07-30
하나로약국,경기도,양주시,경기도 양주시 고덕로 280 (고읍동),,37.8011767,127.0718117,약국내,경기도 양주시청,,2024-07-30
가족약국,경기도,양주시,경기도 양주시 평화로 1426 (덕계동),,37.8181094,127.0462700,약국내,경기도 양주시청,,2024-07-30
