설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
처인구청,경기도,용인시,경기도 용인시 처인구 금령로 50,경기도 용인시 처인구 김량장동 286,37.23437996,127.2013372,,경기도 용인시청,,2024-08-14
기흥구청,경기도,용인시,경기도 용인시 기흥구 관곡로 95,경기도 용인시 기흥구 구갈동 355,37.28044712,127.114689,,경기도 용인시청,,2024-08-14
수지구청,경기도,용인시,경기도 용인시 수지구 포은대로 388,,37.31848813,127.0944719,,경기도 용인시청,,2024-08-14
처인구 보건소,경기도,용인시,경기도 용인시 처인구 중부대로 1199,,37.24086733,127.1779684,,경기도 용인시청,,2024-08-14
기흥구 보건소,경기도,용인시,경기도 용인시 기흥구 신갈로58번길 11,,37.27260603,127.1067678,,경기도 용인시청,,2024-08-14
수지구 보건소,경기도,용인시,경기도 용인시 수지구 포은대로 435,,37.3222219,127.0974474,,경기도 용인시청,,2024-08-14
포곡읍,경기도,용인시,경기도 용인시 처인구 포곡읍 포곡로 258,경기도 용인시 처인구 포곡읍 삼계리 588-5,37.27781781,127.2308231,,경기도 용인시청,,2024-08-14
모현읍,경기도,용인시,경기도 용인시 처인구 모현읍 독점로 31-6,경기도 용인시 처인구 모현읍 갈담리 309,37.32953302,127.2423619,,경기도 용인시청,,2024-08-14
이동읍,경기도,용인시,경기도 용인시 처인구 이동읍 경기동로 673,경기도 용인시 처인구 이동읍 송전리 750-3,37.14112038,127.1961973,,경기도 용인시청,,2024-08-14
남사읍,경기도,용인시,경기도 용인시 처인구 남사읍 내기로 22,,37.11523295,127.1503514,,경기도 용인시청,,2024-08-14
원삼면,경기도,용인시,경기도 용인시 처인구 원삼면 원양로 64,경기도 용인시 처인구 원삼면 고당리 88-1,37.16658943,127.3132646,,경기도 용인시청,,2024-08-14
백암면,경기도,용인시,경기도 용인시 처인구 백암면 백암로 189,경기도 용인시 처인구 백암면 백암리 495-3,37.16340683,127.3753789,,경기도 용인시청,,2024-08-14
양지면,경기도,용인시,경기도 용인시 처인구 양지면 향교로11번길 3,,37.23666405,127.2858274,,경기도 용인시청,,2024-08-14
중앙동,경기도,용인시,경기도 용인시 처인구 금령로90번길 3-20,경기도 용인시 처인구 김량장동 89,37.23506858,127.2072649,,경기도 용인시청,,2024-08-14
역북동,경기도,용인시,경기도 용인시 처인구 명지로 16,경기도 용인시 처인구 역북동 744,37.23455978,127.1881482,,경기도 용인시청,,2024-08-14
삼가동,경기도,용인시,경기도 용인시 처인구 동백죽전대로 61,경기도 용인시 처인구 삼가동 28-6,37.24963097,127.165158,,경기도 용인시청,,2024-08-14
유림동,경기도,용인시,경기도 용인시 처인구 백옥대로 1315,경기도 용인시 처인구 유방동 475-20,37.25285779,127.21205,,경기도 용인시청,,2024-08-14
동부동,경기도,용인시,경기도 용인시 처인구 중부대로 1574,경기도 용인시 처인구 마평동 533-8,37.23277029,127.219174,,경기도 용인시청,,2024-08-14
신갈동,경기도,용인시,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.27260603,127.1067678,,경기도 용인시청,,2024-08-14
영덕1동,경기도,용인시,경기도 용인시 기흥구 흥덕2로118번길 2,경기도 용인시 기흥구 영덕동 1208,37.27782133,127.0745334,,경기도 용인시청,,2024-08-14
영덕2동,경기도,용인시,경기도 용인시 기흥구 덕영대로2077번길 68,경기도 용인시 기흥구 영덕동 127-17,37.26668824,127.0918543,,경기도 용인시청,,2024-08-14
구갈동,경기도,용인시,경기도 용인시 기흥구 강남로 23,경기도 용인시 기흥구 구갈동 578,37.27242458,127.1275882,,경기도 용인시청,,2024-08-14
상갈동,경기도,용인시,경기도 용인시 기흥구 상갈로 2,경기도 용인시 기흥구 상갈동 472-1,37.26657957,127.1076939,,경기도 용인시청,,2024-08-14
보라동,경기도,용인시,경기도 용인시 기흥구 한보라1로10번길 6-10,경기도 용인시 기흥구 보라동 573-2,37.25395722,127.1082969,,경기도 용인시청,,2024-08-14
기흥동,경기도,용인시,경기도 용인시 기흥구 고매로43번길 12-14,경기도 용인시 기흥구 공세동 191-3,37.23152688,127.1155323,,경기도 용인시청,,2024-08-14
서농동,경기도,용인시,경기도 용인시 기흥구 서천서로 79,경기도 용인시 기흥구 서천동 748-2,37.23797804,127.0683832,,경기도 용인시청,,2024-08-14
구성동,경기도,용인시,경기도 용인시 기흥구 구성로77번길 17,경기도 용인시 기흥구 언남동 342-1,37.29676402,127.1189815,,경기도 용인시청,,2024-08-14
마북동,경기도,용인시,경기도 용인시 기흥구 구교동로118번길 16,경기도 용인시 기흥구 마북동 162-4,37.3015797,127.117447,,경기도 용인시청,,2024-08-14
동백1동,경기도,용인시,경기도 용인시 기흥구 동백죽전대로 444,경기도 용인시 기흥구 중동 833,37.27799596,127.1515984,,경기도 용인시청,,2024-08-14
동백2동,경기도,용인시,경기도 용인시 기흥구 동백중앙로 214,경기도 용인시 기흥구 중동 866-1,37.27253257,127.1516873,,경기도 용인시청,,2024-08-14
동백3동,경기도,용인시,경기도 용인시 기흥구 동백죽전대로527번길 98-2,,37.28107184,127.1442402,,경기도 용인시청,,2024-08-14
상하동,경기도,용인시,경기도 용인시 기흥구 어정로 62-23,경기도 용인시 기흥구 상하동 435-12,37.27051314,127.1383972,,경기도 용인시청,,2024-08-14
보정동,경기도,용인시,경기도 용인시 기흥구 죽전로 40,경기도 용인시 기흥구 보정동 1264,37.32018859,127.1130928,,경기도 용인시청,,2024-08-14
풍덕천1동,경기도,용인시,경기도 용인시 수지구 수지로342번길 3,경기도 용인시 수지구 풍덕천동 701-1,37.32795741,127.0950287,,경기도 용인시청,,2024-08-14
풍덕천2동,경기도,용인시,경기도 용인시 수지구 풍덕천로 51,경기도 용인시 수지구 풍덕천동 1051-2,37.31946228,127.0887777,,경기도 용인시청,,2024-08-14
신봉동,경기도,용인시,경기도 용인시 수지구 수지로 215,경기도 용인시 수지구 신봉동 898,37.32066575,127.0836395,,경기도 용인시청,,2024-08-14
죽전1동,경기도,용인시,경기도 용인시 수지구 대지로15번길 50,경기도 용인시 수지구 죽전동 1070-9,37.33105012,127.1139969,,경기도 용인시청,,2024-08-14
죽전2동,경기도,용인시,경기도 용인시 수지구 포은대로 523,경기도 용인시 수지구 죽전동 1003-122,37.32591155,127.1067309,,경기도 용인시청,,2024-08-14
죽전3동,경기도,용인시,경기도 용인시 수지구 대지로 42,경기도 용인시 수지구 죽전동 484-12,37.32798643,127.1141859,,경기도 용인시청,,2024-08-14
동천동,경기도,용인시,경기도 용인시 수지구 신수로783번길 40,경기도 용인시 수지구 동천동 176-4,37.34186011,127.099239,,경기도 용인시청,,2024-08-14
상현1동,경기도,용인시,경기도 용인시 수지구 상현로 71,,37.30462736,127.0811467,,경기도 용인시청,,2024-08-14
상현2동,경기도,용인시,경기도 용인시 수지구 만현로 48,경기도 용인시 수지구 상현동 1199,37.31036044,127.0865294,,경기도 용인시청,,2024-08-14
상현3동,경기도,용인시,경기도 용인시 수지구 법조로 223,경기도 용인시 수지구 상현동 1125,37.29963931,127.0727045,,경기도 용인시청,,2024-08-14
성복동,경기도,용인시,경기도 용인시 수지구 성복1로 100,경기도 용인시 수지구 성복동 777,37.31648737,127.0690037,,경기도 용인시청,,2024-08-14
