설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
플러스약국,경기도,평택시,"경기도 평택시 경기대로 1103, 홈플러스 B1층 (장당동)",,37.04499351,127.0594766,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
송탄우리약국,경기도,평택시,"경기도 평택시 경기대로 1365, 1층 (서정동, 한양빌딩)",,37.06696891,127.0636587,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
평택시 송탄출장소,경기도,평택시,경기도 평택시 경기대로 1366 (서정동),,37.06580872,127.0650898,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
슬기로운약국,경기도,평택시,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 1층 110,111호 (고덕동)",,37.05655788,127.0474048,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
삼성메디컬약국,경기도,평택시,"경기도 평택시 고덕갈평6길 29, 109,110호 (고덕동)",,37.05730609,127.0474404,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
별약국,경기도,평택시,"경기도 평택시 고덕국제5로 145, 106호 (고덕동)",,37.03490865,127.0257677,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
휴베이스효약국,경기도,평택시,"경기도 평택시 고덕국제대로 7, 창신베스트 1층 116호 (고덕동)",,37.03892923,127.048198,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
이메디칼약국,경기도,평택시,"경기도 평택시 고덕로 250, 1층 109호 (고덕동)",,37.03637239,127.0284467,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
고덕면 행정복지센터,경기도,평택시,경기도 평택시 고덕로 283,,37.04233106,127.0177591,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
고덕보건지소,경기도,평택시,경기도 평택시 고덕로 283 (고덕동),,37.04233106,127.0177591,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
서정약국,경기도,평택시,"경기도 평택시 고덕로3길 27, 1층 107호 (고덕동)",,37.03821232,127.026445,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
고덕중앙약국,경기도,평택시,"경기도 평택시 고덕면 궁2길 67, 103호",,37.01804686,127.0343885,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
고덕메디칼약국,경기도,평택시,"경기도 평택시 고덕면 동청1길 35, 102호",,37.05502227,127.0062514,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
문곡보건진료소,경기도,평택시,경기도 평택시 고덕면 문곡길 5,,37.05594461,127.0087917,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
제일큰약국,경기도,평택시,"경기도 평택시 고덕여염9길 13, SM타워 1층 105호 (고덕동)",,37.03970276,127.0491439,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
고덕동 행정복지센터,경기도,평택시,경기도 평택시 고덕여염9길 37 3층 (고덕동),,37.04053295,127.050415,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
고덕드림약국,경기도,평택시,"경기도 평택시 고덕여염9길 38, 105,106호 (고덕동)",,37.04014991,127.0509706,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
기분좋은온누리약국,경기도,평택시,"경기도 평택시 고덕중앙2로 39, 고은메디타워 1층 108,109호 (고덕동)",,37.04519147,127.0402845,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
고덕우리약국,경기도,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 118호 (고덕동)",,37.04777329,127.0442092,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
우성탑약국,경기도,평택시,"경기도 평택시 고덕중앙로 218, 1층 113.114호 (고덕동)",,37.04789648,127.0449609,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
시네마약국,경기도,평택시,"경기도 평택시 관광특구로 19, 1층 (서정동)",,37.0672536,127.0609114,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
명성약국,경기도,평택시,"경기도 평택시 관광특구로 19, 3층 307호 (서정동)",,37.0672536,127.0609114,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
GS약국,경기도,평택시,경기도 평택시 관광특구로 31 (서정동),,37.06708636,127.0625553,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
삼성약국,경기도,평택시,경기도 평택시 관광특구로 37 (서정동),,37.06705404,127.063028,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
신장2동 행정복지센터,경기도,평택시,경기도 평택시 밀월로21번길 7 (신장동),,37.07644978,127.0524309,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
송탄동 행정복지센터,경기도,평택시,경기도 평택시 방여울로 117 (가재동),,37.04440315,127.0948501,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
힐링약국,경기도,평택시,"경기도 평택시 삼성로 114, 삼성전자(주) 평택캠퍼스 복지동 1층 (고덕동)",,37.03561671,127.0531626,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
삼동약국,경기도,평택시,"경기도 평택시 삼성로 90, 사무2동 1층 (고덕동)",,37.03364999,127.0551427,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
송탄보건소,경기도,평택시,경기도 평택시 서정로 295 (서정동),,37.06564857,127.0664974,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
평택시송탄치매안심센터,경기도,평택시,경기도 평택시 서정로 295 (서정동),,37.06564857,127.0664974,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
송탄온누리약국,경기도,평택시,경기도 평택시 서정북로 71 (서정동),,37.07082148,127.0574264,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
하나약국,경기도,평택시,"경기도 평택시 서정북로 79, 신광빌딩 (서정동)",,37.07099891,127.0582114,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
중앙동 행정복지센터,경기도,평택시,경기도 평택시 서정역로 16 (이충동),,37.05555456,127.0560522,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
송탄시장약국,경기도,평택시,경기도 평택시 서정역로 22 (서정동),,37.05606636,127.055821,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
상록수 약국,경기도,평택시,경기도 평택시 서정역로 42 (서정동),,37.05792232,127.0557755,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
청북솔약국,경기도,평택시,"경기도 평택시 서정역로 47, 1층 (서정동)",,37.05818592,127.054929,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
서정부부약국,경기도,평택시,"경기도 평택시 서정역로 48, 1층 (서정동)",,37.05828817,127.0553212,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
새희망약국,경기도,평택시,"경기도 평택시 서정역로26번길 3, 대성빌딩 1층 (서정동)",,37.05645461,127.0559173,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
새봄약국,경기도,평택시,경기도 평택시 서정역로26번길 7-10 (이충동),,37.0567194,127.0563526,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
서정굿모닝약국,경기도,평택시,경기도 평택시 서정역로36번길 10 (서정동),,37.05736903,127.056457,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
금각보건진료소,경기도,평택시,경기도 평택시 서탄면 금각1길 6-5,,37.07016113,127.0084158,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
서탄면 행정복지센터,경기도,평택시,경기도 평택시 서탄면 금암2길 122,,37.10823867,127.0353278,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
서탄면보건지소,경기도,평택시,경기도 평택시 서탄면 금암2길 122,,37.10823867,127.0353278,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
서탄약국,경기도,평택시,"경기도 평택시 서탄면 금암3길 1, 105호",,37.10949588,127.0325778,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
세명약국,경기도,평택시,경기도 평택시 서탄면 발안로 1226,,37.13619606,127.0359301,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
온누리영진약국,경기도,평택시,"경기도 평택시 송탄로 220, 1층 (서정동)",,37.06340498,127.05853,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
우미약국,경기도,평택시,"경기도 평택시 송탄로 260, 2층 (서정동)",,37.06678725,127.0589156,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
세림약국,경기도,평택시,경기도 평택시 송탄로 272 (서정동),,37.06796983,127.0591821,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
스마일약국,경기도,평택시,"경기도 평택시 송탄로 33 (장당동, 굿스파인병원)",,37.04826305,127.057008,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
지산동 행정복지센터,경기도,평택시,경기도 평택시 송탄로 379 (지산동),,37.0774099,127.0575811,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
송탄하늘약국,경기도,평택시,"경기도 평택시 송탄로 410, 1층 (지산동)",,37.08013521,127.0580761,,경기도 평택시청 송탄보건소,031-8024-7233,2024-06-30
