설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
관내 우체통,서울특별시,관악구,서울특별시 관악구 호암로 526,,37.46452069,126.9317421,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 조원로 67,,37.48412777,126.9095056,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 조원로 118,,37.48501945,126.9155289,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 인헌9길 35,,37.47269621,126.9688402,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 은천로 110,,37.48668451,126.9473489,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 쑥고개로 86,,37.47915735,126.9460516,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 신림로29길 8,,37.4755685,126.9328111,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 신림로 74,,37.4710729,126.9412416,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 신림로 159-1,,37.47335141,126.9330063,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 시흥대로 572,,37.48388927,126.9028163,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 성현로 80,,37.48984744,126.9529855,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 봉천로27길 58,,37.48582895,126.9416713,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 보라매로3길 29,,37.49121134,126.9249903,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 문성로31길 38,,37.48066748,126.9284834,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 관악로 1,,37.45431135,126.9524932,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 남부순환로272길 38,,37.4748411,126.9782377,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 남부순환로 1947,,37.4766351,126.9654007,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 남부순환로 1841,,37.48084938,126.9547091,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 남부순환로 1722,,37.48227075,126.9412539,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 남부순환로 1643,,37.48501424,126.9331367,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 난곡로 84,,37.4629028,126.9193909,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 난곡로 275,,37.47854003,126.9149132,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 난곡로 210,,37.47372985,126.918545,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 관악로 304,,37.49205057,126.957711,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 관악로 249-1,,37.48677759,126.9567026,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 관악로 161,,37.47960707,126.9521839,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 관악로 148,,37.47845709,126.9525843,,서울특별시 관악구청,,2024-07-13
관내 우체통,서울특별시,관악구,서울특별시 관악구 관악로 1,,37.46803806,126.9592943,,서울특별시 관악구청,,2024-07-13
보라매동주민센터,서울특별시,관악구,서울특별시 관악구 봉천로 279-8,,37.48817576,126.932778,,서울특별시 관악구청,,2024-07-13
은천동주민센터,서울특별시,관악구,서울특별시 관악구 봉천로33나길 30,,37.48530456,126.9424095,,서울특별시 관악구청,,2024-07-13
성현동주민센터,서울특별시,관악구,서울특별시 관악구 구암길 38,,37.48952989,126.9481596,,서울특별시 관악구청,,2024-07-13
중앙동주민센터,서울특별시,관악구,서울특별시 관악구 양녕로6다길 7,,37.48419282,126.9497511,,서울특별시 관악구청,,2024-07-13
청림동주민센터,서울특별시,관악구,서울특별시 관악구 관악로 40길 39,,37.49184717,126.9586277,,서울특별시 관악구청,,2024-07-13
행운동주민센터,서울특별시,관악구,서울특별시 관악구 행운1길 43,,37.48064257,126.9570309,,서울특별시 관악구청,,2024-07-13
청룡동주민센터,서울특별시,관악구,서울특별시 관악구 쑥고개로 44,,37.4791175,126.9416407,,서울특별시 관악구청,,2024-07-13
낙성대동주민센터,서울특별시,관악구,서울특별시 관악구 낙성대로4가길 5,,37.47629595,126.9583876,,서울특별시 관악구청,,2024-07-13
인헌동주민센터,서울특별시,관악구,서울특별시 관악구 남부순환로246가길 20,,37.47509931,126.9653243,,서울특별시 관악구청,,2024-07-13
남현동주민센터,서울특별시,관악구,서울특별시 관악구 남현1가길 29,,37.47468786,126.9778753,,서울특별시 관악구청,,2024-07-13
신림동주민센터,서울특별시,관악구,서울특별시 관악구 신림동길 14,,37.487396,126.9271139,,서울특별시 관악구청,,2024-07-13
신사동주민센터,서울특별시,관악구,서울특별시 관악구 조원로 142,,37.48540905,126.9180954,,서울특별시 관악구청,,2024-07-13
조원동주민센터,서울특별시,관악구,서울특별시 관악구 조원로12길 25,,37.48256328,126.9077947,,서울특별시 관악구청,,2024-07-13
미성동주민센터,서울특별시,관악구,서울특별시 관악구 난곡로 249,,37.47617498,126.9155517,,서울특별시 관악구청,,2024-07-13
