설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
잠원동 주민센터,서울특별시,서초구,서울특별시 서초구 나루터로 38 (잠원동),,37.5149681,127.0139821,,서울특별시 서초구청,,2024-08-05
반포본동 주민센터,서울특별시,서초구,서울특별시 서초구 신반포로 23 (반포동),,37.5017471,126.9872318,,서울특별시 서초구청,,2024-08-05
반포1동 주민센터,서울특별시,서초구,서울특별시 서초구 사평대로 273 (반포동),,37.5050940,127.0133786,,서울특별시 서초구청,,2024-08-05
반포2동 주민센터,서울특별시,서초구,서울특별시 서초구 신반포로15길 16(반포동),,37.5045854,126.9944717,,서울특별시 서초구청,,2024-08-05
반포3동 주민센터,서울특별시,서초구,"서울특별시 서초구 신반포로23길 78, 지하주차장(반포동, 반포3동주민센터)",,37.5120480,127.0056087,,서울특별시 서초구청,,2024-08-05
반포4동 주민센터,서울특별시,서초구,서울특별시 서초구 사평대로28길 70 (반포동),,37.4974859,127.0003286,,서울특별시 서초구청,,2024-08-05
방배본동 주민센터,서울특별시,서초구,서울특별시 서초구 동광로19길 38 (방배동),,37.4941487,126.9888470,,서울특별시 서초구청,,2024-08-05
방배1동 주민센터,서울특별시,서초구,서울특별시 서초구 효령로29길 43 (방배동),,37.4833617,126.9945139,,서울특별시 서초구청,,2024-08-05
방배2동 주민센터,서울특별시,서초구,서울특별시 서초구 청두곶길 36 (방배동),,37.4797726,126.9855596,,서울특별시 서초구청,,2024-08-05
방배3동 주민센터,서울특별시,서초구,서울특별시 서초구 방배로 40 (방배동),,37.4784388,126.9999966,,서울특별시 서초구청,,2024-08-05
방배4동 주민센터,서울특별시,서초구,서울특별시 서초구 방배로 173 (방배동),,37.4890076,126.9922424,,서울특별시 서초구청,,2024-08-05
양재1동 주민센터,서울특별시,서초구,서울특별시 서초구 바우뫼로 41 (우면동),,37.4716711,127.0266688,,서울특별시 서초구청,,2024-08-05
양재2동 주민센터,서울특별시,서초구,서울특별시 서초구 강남대로12길 44 (양재동),,37.4706450,127.0412829,,서울특별시 서초구청,,2024-08-05
내곡동 주민센터,서울특별시,서초구,"서울특별시 서초구 청계산로15길 77, 내곡열린문화센터(신원동)",,37.4493583,127.0583143,,서울특별시 서초구청,,2024-08-05
서초구립 양재노인종합복지관,서울특별시,서초구,서울특별시 서초구 강남대로30길 73-7(양재동),,37.4830200,127.0408160,,서울특별시 서초구청,,2024-08-05
서초구립 방배노인종합복지관,서울특별시,서초구,서울특별시 서초구 방배천로 48 (방배동),,37.4807674,126.9827869,,서울특별시 서초구청,,2024-08-05
서초구립 중앙노인종합복지관,서울특별시,서초구,서울특별시 서초구 서초대로54길 45(서초동),,37.4923243,127.0168110,,서울특별시 서초구청,,2024-08-05
우면종합사회복지관,서울특별시,서초구,서울특별시 서초구 바우뫼로 43 바우뫼복지문화회관(우면동),,37.4717422,127.0269012,,서울특별시 서초구청,,2024-08-05
서초구립 양재종합사회복지관,서울특별시,서초구,서울특별시 서초구 남부순환로 2610 양재종합사회복지관(양재동),,37.4845270,127.0361645,,서울특별시 서초구청,,2024-08-05
반포현대동궁아파트,서울특별시,서초구,서울특별시 서초구 사평대로 154 (반포4동),,37.5007885,127.0022009,,서울특별시 서초구청,,2024-08-05
잠원동아아파트,서울특별시,서초구,서울특별시 서초구 신반포로33길 15 (반포3동),,37.5090443,127.0095245,,서울특별시 서초구청,,2024-08-05
신반포7차아파트,서울특별시,서초구,서울특별시 서초구 잠원로 88 (반포3동),,37.5122489,127.0082261,,서울특별시 서초구청,,2024-08-05
방배서리풀그랑블아파트,서울특별시,서초구,서울특별시 서초구 서초대로34가길 52 (방배1동),,37.4863329,126.9978566,,서울특별시 서초구청,,2024-08-05
방배자이아파트,서울특별시,서초구,서울특별시 서초구 방배로18길 67 (방배1동),,37.4859662,126.9989628,,서울특별시 서초구청,,2024-08-05
롯데캐슬파크,서울특별시,서초구,서울특별시 서초구 방배로18길 91 (방배1동),,37.4863247,126.9997965,,서울특별시 서초구청,,2024-08-05
서초힐스아파트,서울특별시,서초구,서울특별시 서초구 양재대로2길 90 (우면동),,37.4576053,127.0175705,,서울특별시 서초구청,,2024-08-05
서초자이아파트,서울특별시,서초구,서울특별시 서초구 효령로68길 81 (서초1동),,37.4851864,127.0206731,,서울특별시 서초구청,,2024-08-05
반포한신타워아파트,서울특별시,서초구,서울특별시 서초구 잠원로3길 8 (반포3동),,37.5111929,127.0061579,,서울특별시 서초구청,,2024-08-05
양재우성아파트,서울특별시,서초구,서울특별시 서초구 바우뫼로 91 (양재1동),,37.4750405,127.0317990,,서울특별시 서초구청,,2024-08-05
방배3차현대홈타운,서울특별시,서초구,서울특별시 서초구 방배중앙로21길 55 (방배본동),,37.4918230,126.9840857,,서울특별시 서초구청,,2024-08-05
래미안서초스위트아파트,서울특별시,서초구,서울특별시 서초구 서운로 221 (서초4동),,37.5020972,127.0198690,,서울특별시 서초구청,,2024-08-05
