설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
성북구청,서울특별시,성북구,서울특별시 성북구 보문로 168,서울특별시 성북구 삼선동5가 411,37.58945628,127.0168496,,서울특별시 성북구청,02-2241-4409,2024-09-02
성북동주민센터,서울특별시,성북구,서울특별시 성북구 성북로 37,서울특별시 성북구 성북동1가 117-1,37.59105175,127.0032478,,서울특별시 성북구청,02-2241-4409,2024-09-02
삼선동주민센터,서울특별시,성북구,서울특별시 성북구 보문로 190,서울특별시 성북구 삼선동4가 349-1,37.59084573,127.0146418,,서울특별시 성북구청,02-2241-4409,2024-09-02
동선동주민센터,서울특별시,성북구,서울특별시 성북구 동소문로26길 27,서울특별시 성북구 동선동3가 130-7,37.59398014,127.0204087,,서울특별시 성북구청,02-2241-4409,2024-09-02
돈암2동주민센터,서울특별시,성북구,서울특별시 성북구 흥천사길 7,서울특별시 성북구 돈암동 603-1,37.59801698,127.010539,,서울특별시 성북구청,02-2241-4409,2024-09-02
안암동주민센터,서울특별시,성북구,서울특별시 성북구 고려대로 16,서울특별시 성북구 안암동2가 140-4,37.58568552,127.0214295,,서울특별시 성북구청,02-2241-4409,2024-09-02
보문동주민센터,서울특별시,성북구,서울특별시 성북구 안암로3길 35,서울특별시 성북구 보문동7가 108-1,37.58037354,127.0228035,,서울특별시 성북구청,02-2241-4409,2024-09-02
정릉1동주민센터,서울특별시,성북구,서울특별시 성북구 정릉로38마길 33,서울특별시 성북구 정릉동 1020,37.6014358,127.0166418,,서울특별시 성북구청,02-2241-4409,2024-09-02
정릉2동주민센터,서울특별시,성북구,서울특별시 성북구 정릉로26길 1,서울특별시 성북구 정릉동 966-125,37.60446495,127.0111396,,서울특별시 성북구청,02-2241-4409,2024-09-02
정릉3동주민센터,서울특별시,성북구,서울특별시 성북구 솔샘로1길 6-3,서울특별시 성북구 정릉동 673-3,37.60895467,127.0041769,,서울특별시 성북구청,02-2241-4409,2024-09-02
정릉4동주민센터,서울특별시,성북구,서울특별시 성북구 보국문로 106-1,서울특별시 성북구 정릉동 293-6,37.61335758,127.0070184,,서울특별시 성북구청,02-2241-4409,2024-09-02
길음1동주민센터,서울특별시,성북구,서울특별시 성북구 길음로 92,서울특별시 성북구 길음동 1281-7,37.61048654,127.0194561,,서울특별시 성북구청,02-2241-4409,2024-09-02
길음2동주민센터,서울특별시,성북구,서울특별시 성북구 삼양로2길 70,서울특별시 성북구 길음동 1064-1,37.60680733,127.0272794,,서울특별시 성북구청,02-2241-4409,2024-09-02
종암동주민센터,서울특별시,성북구,서울특별시 성북구 종암로 98-8,서울특별시 성북구 종암동 16-8,37.59903437,127.0352236,,서울특별시 성북구청,02-2241-4409,2024-09-02
월곡1동주민센터,서울특별시,성북구,서울특별시 성북구 오패산로 96,서울특별시 성북구 하월곡동 225-7,37.61053624,127.035762,,서울특별시 성북구청,02-2241-4409,2024-09-02
월곡2동주민센터,서울특별시,성북구,서울특별시 성북구 화랑로 152,서울특별시 성북구 상월곡동 97-22,37.60577977,127.0478713,,서울특별시 성북구청,02-2241-4409,2024-09-02
