설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
강화군보건소,인천광역시,강화군,인천광역시 강화군 강화읍 충렬사로 26-1,인천광역시 강화군 강화읍 남산리 324-2,37.7372303913,126.4847095405,보건소내1층,인천광역시 강화군청,032-930-4083,2024-08-07
선원면보건지소,인천광역시,강화군,인천광역시 강화군 선원면 대문고개로 22,인천광역시 강화군 선원면 금월리 235-1,37.7135503736,126.4848278720,지소내,인천광역시 강화군청,032-933-4966,2024-08-07
불은면보건지소,인천광역시,강화군,인천광역시 강화군 불은면 강화동로 562-3,인천광역시 강화군 불은면 두운리 252,37.6864690356,126.4798801130,지소내,인천광역시 강화군청,032-937-4339,2024-08-07
길상면보건지소,인천광역시,강화군,인천광역시 강화군 길상면 강화동로 15-1,인천광역시 강화군 길상면 온수리 502-3,37.6404819881,126.4912409487,지소내,인천광역시 강화군청,032-937-0212,2024-08-07
화도면보건지소,인천광역시,강화군,인천광역시 강화군 화도면 마니산로 703-14,인천광역시 강화군 화도면 상방리 839-2,37.6316998219,126.4198415144,지소내,인천광역시 강화군청,032-937-0256,2024-08-07
양도면보건지소,인천광역시,강화군,인천광역시 강화군 양도면 강화남로 708-2,인천광역시 강화군 양도면 하일리 188,37.6628893641,126.4221118268,지소내,인천광역시 강화군청,032-937-2104,2024-08-07
내가면보건지소,인천광역시,강화군,인천광역시 강화군 내가면 강화서로 249,인천광역시 강화군 내가면 고천리 797-2,37.7193428380,126.3898167529,지소내,인천광역시 강화군청,032-932-6015,2024-08-07
하점면보건지소,인천광역시,강화군,인천광역시 강화군 하점면 강화대로 1220,인천광역시 강화군 하점면 신봉리 617-6,37.7742621850,126.4115677117,지소내,인천광역시 강화군청,032-930-3544,2024-08-07
양사면보건지소,인천광역시,강화군,인천광역시 강화군 양사면 전망대로 1391,인천광역시 강화군 양사면 교산리 846-1,37.7982322860,126.4086980431,지소내,인천광역시 강화군청,032-932-5506,2024-08-07
송해면보건지소,인천광역시,강화군,인천광역시 강화군 송해면 전망대로 29,인천광역시 강화군 송해면 솔정리 357-2,37.7646530463,126.4630360999,지소내,인천광역시 강화군청,032-930-3546,2024-08-07
