설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
계산주공아파트,인천광역시,계양구,인천광역시 계양구 경명대로1142번길 3,인천광역시 계양구 계산동 20,37.5412438,126.7340726,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
작전현대2-1차아파트,인천광역시,계양구,인천광역시 계양구 효서로 381,인천광역시 계양구 작전동 580,37.52800661,126.737781,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
계산현대아파트,인천광역시,계양구,인천광역시 계양구 계산로 171,인천광역시 계양구 계산동 66,37.53768415,126.7328773,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
동보아파트,인천광역시,계양구,인천광역시 계양구 주부토로363번길 28,인천광역시 계양구 작전동 388-2,37.52719553,126.7266538,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
은행마을아주아파트,인천광역시,계양구,인천광역시 계양구 용종로 26,인천광역시 계양구 계산동 1085-2,37.53682968,126.7432514,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
학마을영남아파트,인천광역시,계양구,인천광역시 계양구 장제로 878,인천광역시 계산동 병방동 432-5,37.54479345,126.739483,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
학마을서해아파트,인천광역시,계양구,인천광역시 계양구 장제로 878,인천광역시 계산동 병방동 432-5,37.54479345,126.739483,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
학마을한진아파트,인천광역시,계양구,인천광역시 계양구 용종로 124,인천광역시 계산동 병방동 433-1,37.54519393,126.7432618,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
계양센트레빌1단지아파트,인천광역시,계양구,인천광역시 계양구 형제봉길 100,인천광역시 계산동 귤현동 531,37.56935275,126.7511694,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
효성해링턴플레이스아파트,인천광역시,계양구,인천광역시 계양구 서운로 34,인천광역시 계양구 서운동 230,37.52901429,126.7458303,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
e편한세상더프리미어아파트,인천광역시,계양구,인천광역시 계양구 효서로 145(효성동),인천광역시 계양구 효성동 254-14,37.52894392,126.7133062,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
뉴서울1차아파트,인천광역시,계양구,"인천광역시 계양구 봉오대로744번길 7 (작전동, 뉴서울1차아파트)",인천광역시 계양구 작전동 102-3,37.52937594,126.7328311,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
동양주공1단지아파트,인천광역시,계양구,인천광역시 계양구 양지로 7 동양주공1단지아파트,인천광역시 계양구 동양동 575,37.55899709,126.7552678,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
동양주공2단지아파트,인천광역시,계양구,인천광역시 계양구 동양로 96 동양주공2단지아파트,인천광역시 계양구 동양동 581,37.55819404,126.755661,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
오류신동아아파트,인천광역시,계양구,인천광역시 계양구 황어로115번길 10 신동아아파트,인천광역시 계양구 오류동 180,37.57966236,126.7326667,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
작전동보2차아파트,인천광역시,계양구,인천광역시 계양구 장제로663번길 13,인천광역시 계양구 작전동 286-1,37.52605115,126.7313164,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
작전현대1차아파트,인천광역시,계양구,인천광역시 계양구 봉오대로743번길 20,인천광역시 계양구 작전동 111-7,37.53212854,126.732191,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
작전현대2-2차아파트,인천광역시,계양구,인천광역시 계양구 효서로 381 작전서운동 현대2-2차아파트,인천광역시 계양구 작전동 580,37.52786762,126.7392213,관리사무실,인천광역시 계양구청,032-430-7815,2024-07-31
