설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
동구보건소,인천광역시,동구,인천광역시 동구 석수로 90,인천광역시 동구 만석동 18-3,37.483101,126.625845,보건소 민원실,인천광역시 동구 보건소,032-770-6407,2024-07-28
백제약국,인천광역시,동구,인천광역시 동구 화수로 18,인천광역시 동구 송현동 66-26,37.482315,126.635354,약국 내부,인천광역시 동구 보건소,032-770-6407,2024-07-28
만석동 행정복지센터,인천광역시,동구,인천광역시 동구 석수로 96,인천광역시 동구 만석동 18-4,37.483269,126.625465,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
화수1·화평동 행정복지센터,인천광역시,동구,인천광역시 동구 화도로 41,인천광역시 동구 화수동 236,37.481548,126.629894,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
화수2동 행정복지센터,인천광역시,동구,인천광역시 동구 화수안로 42,인천광역시 동구 화수2동 37-147,37.484333,126.630105,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
송현1·2동 행정복지센터,인천광역시,동구,인천광역시 동구 솔빛로22번길 2,인천광역시 동구 송현동 84-9,37.476506,126.635744,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
송현3동 행정복지센터,인천광역시,동구,인천광역시 동구 인중로 635-20,인천광역시 동구 송현동 1-825,37.482263,126.642638,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
송림1동 행정복지센터,인천광역시,동구,인천광역시 동구 금곡로 35,인천광역시 동구 송림동 230-6,37.473578,126.639534,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
송림2동 행정복지센터,인천광역시,동구,인천광역시 동구 안송로6번길 5,인천광역시 동구 송림동 56-77,37.475813,126.642682,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
송림3·5동 행정복지센터,인천광역시,동구,인천광역시 동구 새천년로 72,인천광역시 동구 송림동 342-1,37.474744,126.648842,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
송림4동 행정복지센터,인천광역시,동구,인천광역시 동구 송림로162번길 10,인천광역시 동구 송림동 346,37.477469,126.651146,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
송림6동 행정복지센터,인천광역시,동구,인천광역시 동구 샛골로162번길 56,인천광역시 동구 송림6동 42-37,37.477334,126.647971,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
금창동 행정복지센터,인천광역시,동구,인천광역시 동구 금곡로36번길 16,인천광역시 동구 금곡동 38-2,37.472532,126.639793,행정복지센터 내부(1층 민원실),인천광역시 동구 보건소,032-770-6407,2024-07-28
