설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자
숭의1.3동,인천광역시,미추홀구,인천광역시 미추홀구 석정로92번길 21-17,,37.46724303,126.6472204,,인천광역시 미추홀구보건소,032-728-6101,2024-07-26
숭의2동,인천광역시,미추홀구,인천광역시 미추홀구 경인로34번길 20,,37.46303566,126.6472695,,인천광역시 미추홀구보건소,032-728-6121,2024-07-26
용현2동,인천광역시,미추홀구,인천광역시 미추홀구 용마루로 56,,37.45617741,126.6442199,,인천광역시 미추홀구보건소,032-728-6181,2024-07-26
용현3동,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 133,,37.45674657,126.6519011,,인천광역시 미추홀구보건소,032-728-6201,2024-07-26
용현5동,인천광역시,미추홀구,인천광역시 미추홀구 토금북로 60,,37.45255004,126.6402604,,인천광역시 미추홀구보건소,032-728-6221,2024-07-26
인소망약국,인천광역시,미추홀구,인천광역시 미추홀구 미추로 52 (숭의동),,37.46459516,126.6462289,,인천광역시 미추홀구보건소,032-873-7426,2024-07-26
열린연세약국,인천광역시,미추홀구,"인천광역시 미추홀구 토금남로 53 (용현동, 한양프라자 105호)",,37.45081807,126.6380872,,인천광역시 미추홀구보건소,032-882-7749,2024-07-26
용현독일약국,인천광역시,미추홀구,인천광역시 미추홀구 독정이로 7 (용현동),,37.45677715,126.6546771,,인천광역시 미추홀구보건소,032-882-8899,2024-07-26
미추홀노인인력개발센터,인천광역시,미추홀구,인천광역시 미추홀구 독정이로 87 미추홀구청 본관3청사 1층,,37.46255406,126.6505414,,인천광역시 미추홀구보건소,032-888-8260,2024-07-26
용현1.4동,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 198,,37.45480112,126.6585755,,인천광역시 미추홀구보건소,032-728-6161,2024-07-26
숭의4동,인천광역시,미추홀구,인천광역시 미추홀구 경인로156번길 32,,37.46483916,126.6591374,,인천광역시 미추홀구보건소,032-728-6141,2024-07-26
도화1동,인천광역시,미추홀구,인천광역시 미추홀구 경인로 295,,37.46090745,126.673829,,인천광역시 미추홀구보건소,032-728-6281,2024-07-26
도화2.3동,인천광역시,미추홀구,인천광역시 미추홀구 장고개로 29-1,,37.47092611,126.6661471,,인천광역시 미추홀구보건소,032-728-6301,2024-07-26
주안1동,인천광역시,미추홀구,인천광역시 미추홀구 주안서로53번길 22,,37.46379112,126.67658,,인천광역시 미추홀구보건소,032-728-6321,2024-07-26
주안2동,인천광역시,미추홀구,인천광역시 미추홀구 남주길43번길 14-29,,37.45469924,126.6727245,,인천광역시 미추홀구보건소,032-728-6341,2024-07-26
도화태평양약국,인천광역시,미추홀구,"인천광역시 미추홀구 제일로 34, 1층 (도화동)",,37.45854234,126.6739386,,인천광역시 미추홀구보건소,070-8845-6257,2024-07-26
수성당약국,인천광역시,미추홀구,인천광역시 미추홀구 경인로 344 (주안동),,37.45835196,126.6781803,,인천광역시 미추홀구보건소,032-866-6181,2024-07-26
힐스테이트푸르지오주안,인천광역시,미추홀구,인천광역시 미추홀구 남주길 150 힐스테이트푸르지오주안 관리사무소,,37.45343014,126.6768057,,인천광역시 미추홀구보건소,032-873-0995,2024-07-26
주안파크자이플래티넘,인천광역시,미추홀구,인천광역시 미추홀구 인하로222번길 20 주안파크자이더플래티넘 관리사무소,,37.44784675,126.6721571,,인천광역시 미추홀구보건소,032-724-8662,2024-07-26
학익1동,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 380,,37.43983771,126.6641176,,인천광역시 미추홀구보건소,032-728-6241,2024-07-26
학익2동,인천광역시,미추홀구,인천광역시 미추홀구 한나루로 444,,37.44658154,126.6674738,,인천광역시 미추홀구보건소,032-728-6261,2024-07-26
주안3동,인천광역시,미추홀구,인천광역시 미추홀구 주승로31번길 28-10,,37.44488455,126.6740315,,인천광역시 미추홀구보건소,032-728-6361,2024-07-26
주안7동,인천광역시,미추홀구,인천광역시 미추홀구 인하로 265,,37.44844518,126.6776513,,인천광역시 미추홀구보건소,032-728-6441,2024-07-26
주안열린약국,인천광역시,미추홀구,인천광역시 미추홀구 미추홀대로 610,,37.45181678,126.6800476,,인천광역시 미추홀구보건소,070-8657-1237,2024-07-26
미추홀구노인복지관,인천광역시,미추홀구,인천광역시 미추홀구 학익소로37번길 17,,37.44507738,126.6711736,,인천광역시 미추홀구보건소,032-861-3001,2024-07-26
주안4동,인천광역시,미추홀구,인천광역시 미추홀구 구월남로 5,,37.45512738,126.6903025,,인천광역시 미추홀구보건소,032-728-6381,2024-07-26
주안5동,인천광역시,미추홀구,인천광역시 미추홀구 석정로461번길 21,,37.46706508,126.6863956,,인천광역시 미추홀구보건소,032-728-6401,2024-07-26
주안6동,인천광역시,미추홀구,인천광역시 미추홀구 경원대로864번길 59,,37.46127832,126.692311,,인천광역시 미추홀구보건소,032-728-6421,2024-07-26
주안8동,인천광역시,미추홀구,인천광역시 미추홀구 인주대로470번길 24,,37.44956626,126.6893094,,인천광역시 미추홀구보건소,032-728-6461,2024-07-26
관교동,인천광역시,미추홀구,인천광역시 미추홀구 인하로 452,,37.44417922,126.6968093,,인천광역시 미추홀구보건소,032-728-6481,2024-07-26
문학동,인천광역시,미추홀구,인천광역시 미추홀구 소성로 339,,37.43768495,126.6850043,,인천광역시 미추홀구보건소,032-728-6501,2024-07-26
건강프라자약국,인천광역시,미추홀구,인천광역시 미추홀구 경인로 431-1 (주안동),,37.45828798,126.6881584,,인천광역시 미추홀구보건소,032-429-7888,2024-07-26
미소약국,인천광역시,미추홀구,"인천광역시 미추홀구 주안로 226, 217호 (주안동, 주안더월드스테이트 1단지 중심상가동 217호)",,37.46300627,126.6952992,,인천광역시 미추홀구보건소,032-215-1585,2024-07-26
주안노인문화센터,인천광역시,미추홀구,인천광역시 미추홀구 석정로464,,37.46588606,126.6873266,,인천광역시 미추홀구보건소,032-867-3312,2024-07-26
관교노인복지관,인천광역시,미추홀구,인천광역시 미추홀구 관교동 21-2,,37.43928543,126.6960559,,인천광역시 미추홀구보건소,032-421-3600,2024-07-26
용현노인문화센터,인천광역시,미추홀구,인천광역시 미추홀구 인하로77번길 38,,37.45273812,126.6579021,,인천광역시 미추홀구보건소,032-862-3910,2024-07-26
미추홀구보건소,인천광역시,미추홀구,인천광역시 미추홀구 주안서로 25,,37.46108319,126.6774234,,인천광역시 미추홀구보건소,032-880-5310,2024-07-26
숭의보건지소,인천광역시,미추홀구,인천광역시 미추홀구 경인로 54,,37.46444796,126.6490169,,인천광역시 미추홀구보건소,032-880-5365,2024-07-26
